hzname,siteid,plotid,horizonid,pittype,latitude,longitude,hzndept,hzndepb,modifieddept,modifieddepb,midpointcm,sandtotal,silttotal,claytotal,bulkdensovendry,bulkdensfieldmoist,fieldcapacity,wiltingpoint,ksat_T,ksat_T_std
Btss,KONA,,,Megapit,39.1082778,-98.6104722,89,119,,,104.0,1.6,53.8,44.6,,,,,13.167663,1.639452
Btkss,KONA,,,Megapit,39.1082778,-98.6104722,119,156,,,137.5,3.5,56.6,39.9,,,,,12.144759,1.417134
Btk,KONA,,,Megapit,39.1082778,-98.6104722,156,200,,,178.0,4.8,61.9,33.3,,,,,11.010037,1.327713
A,KONZ,,,Megapit,39.10071,-96.56225,0,10,,,5.0,5.3,61.9,32.8,,,,,11.091921,1.311912
Bt1,KONZ,,,Megapit,39.10071,-96.56225,10,26,,,18.0,5.1,54.8,40.1,,,,,12.62539,1.368177
Bt2,KONZ,,,Megapit,39.10071,-96.56225,26,66,,,46.0,2.8,52.6,44.6,,,,,13.728022,1.521041
Btkss,KONZ,,,Megapit,39.10071,-96.56225,66,89,,,77.5,5.9,61.1,33.0,,,,,11.259151,1.30487
Btky,KONZ,,,Megapit,39.10071,-96.56225,89,132,,,110.5,7.2,63.9,28.9,,,,,11.431833,1.297672
2BCy,KONZ,,,Megapit,39.10071,-96.56225,132,164,,,148.0,11.6,54.3,34.1,,,,,11.695703,1.288982
3Bt,KONZ,,,Megapit,39.10071,-96.56225,164,200,,,182.0,11.4,46.9,41.7,,,,,13.294553,1.35087
A1,UKFS,,,Megapit,39.04175,-95.2043889,0,13,,,6.5,8.2,60.9,30.9,,,,,11.496955,1.29372
A2,UKFS,,,Megapit,39.04175,-95.2043889,13,28,,,20.5,8.3,46.8,44.9,,,,,14.745504,1.409566
Bt1,UKFS,,,Megapit,39.04175,-95.2043889,28,43,,,35.5,8.7,49.2,42.1,,,,,13.624742,1.363863
Bt2,UKFS,,,Megapit,39.04175,-95.2043889,43,76,,,59.5,9.8,42.2,48.0,,,,,16.286427,1.480468
2Bt3,UKFS,,,Megapit,39.04175,-95.2043889,76,101,,,88.5,5.8,36.7,57.5,,,,,23.214609,1.887396
2Btk,UKFS,,,Megapit,39.04175,-95.2043889,101,121,,,111.0,4.7,47.4,47.9,,,,,15.989528,1.517908
2C1,UKFS,,,Megapit,39.04175,-95.2043889,121,148,,,134.5,3.9,55.5,40.6,,,,,12.502539,1.406508
2C2,UKFS,,,Megapit,39.04175,-95.2043889,148,200,,,174.0,2.2,57.8,40.0,,,,,11.667463,1.508165
A1,GRSM,,,Megapit,35.6883889,-83.5018333,0,21,,,10.5,55.9,28.5,15.6,,,,,21.099086,1.209488
A2,GRSM,,,Megapit,35.6883889,-83.5018333,21,32,,,26.5,53.1,29.9,17.0,,,,,17.987164,1.199452
Bw,GRSM,,,Megapit,35.6883889,-83.5018333,32,58,,,45.0,55.3,28.4,16.3,,,,,19.797542,1.20688
C,GRSM,,,Megapit,35.6883889,-83.5018333,58,100,,,79.0,72.9,18.6,8.5,,,,,54.302314,1.138135
Bw1,GRSM,,,Megapit,35.6883889,-83.5018333,100,140,,,120.0,37.2,34.8,28.0,,,,,8.140725,1.442563
Bw2,GRSM,,,Megapit,35.6883889,-83.5018333,140,206,,,173.0,47.0,30.9,22.1,,,,,11.466519,1.230526
Oi,ORNL,,,Megapit,35.964583,-84.282806,0,1,-1.0,0.0,0.5,,,,,,,,,
A,ORNL,,,Megapit,35.964583,-84.282806,1,10,0.0,9.0,5.5,29.2,56.3,14.5,,,,,22.921425,1.267343
E,ORNL,,,Megapit,35.964583,-84.282806,10,19,9.0,18.0,14.5,27.5,57.3,15.2,,,,,21.647844,1.244394
Bt1,ORNL,,,Megapit,35.964583,-84.282806,19,40,18.0,39.0,29.5,23.8,56.5,19.7,,,,,15.653168,1.22841
2Bt2,ORNL,,,Megapit,35.964583,-84.282806,40,65,39.0,64.0,52.5,24.3,53.35,22.35,,,,,13.478757,1.250037
2Bt3,ORNL,,,Megapit,35.964583,-84.282806,65,147,64.0,146.0,106.0,18.9,24.3,56.8,,,,,16.81052,1.764089
2Bt4,ORNL,,,Megapit,35.964583,-84.282806,147,180,146.0,179.0,163.5,22.1,37.7,40.2,,,,,10.755009,1.319537
Oi,DELA,,,Megapit,32.541,-87.8031667,0,2,-2.0,0.0,1.0,2.1,62.3,35.6,,,,,10.412487,1.481078
A1,DELA,,,Megapit,32.541,-87.8031667,2,15,0.0,13.0,8.5,3.4,57.1,39.5,,,,,11.98297,1.418284
A2,DELA,,,Megapit,32.541,-87.8031667,15,27,13.0,25.0,21.0,11.8,45.5,42.7,,,,,13.590864,1.363733
Bt1,DELA,,,Megapit,32.541,-87.8031667,27,58,25.0,56.0,42.5,23.2,43.8,33.0,,,,,10.377259,1.309208
Bt2,DELA,,,Megapit,32.541,-87.8031667,58,79,56.0,77.0,68.5,28.0,45.2,26.8,,,,,10.970541,1.325728
Bt3,DELA,,,Megapit,32.541,-87.8031667,79,150,77.0,148.0,114.5,26.7,45.2,28.1,,,,,10.720832,1.320664
Bt4,DELA,,,Megapit,32.541,-87.8031667,150,200,148.0,198.0,175.0,29.8,45.9,24.3,,,,,11.847666,1.325226
Oi,LENO,,,Megapit,31.8531111,-88.1610278,0,2,-2.0,0.0,1.0,,,,,,,,,
A,LENO,,,Megapit,31.8531111,-88.1610278,2,8,0.0,6.0,5.0,46.4,32.8,20.8,,,,,12.088648,1.245048
Bw,LENO,,,Megapit,31.8531111,-88.1610278,8,21,6.0,19.0,14.5,51.1,31.1,17.8,,,,,16.280972,1.194866
Bg1,LENO,,,Megapit,31.8531111,-88.1610278,21,58,19.0,56.0,39.5,35.0,39.4,25.6,,,,,9.82781,1.297598
Bg2,LENO,,,Megapit,31.8531111,-88.1610278,58,102,56.0,100.0,80.0,30.2,40.6,29.2,,,,,9.745743,1.3423
Bg3,LENO,,,Megapit,31.8531111,-88.1610278,102,147,100.0,145.0,124.5,16.7,49.0,34.3,,,,,11.249757,1.278588
Bg4,LENO,,,Megapit,31.8531111,-88.1610278,147,203,145.0,201.0,175.0,8.5,51.4,40.1,,,,,12.978042,1.344226
A1,TALL,,,Megapit,32.9510611,-87.3941,0,10,,,5.0,90.7,6.3,3.0,,,,,407.711657,1.138643
A2,TALL,,,Megapit,32.9510611,-87.3941,10,25,,,17.5,89.5,7.4,3.1,,,,,343.326686,1.141984
BE,TALL,,,Megapit,32.9510611,-87.3941,25,37,,,31.0,87.8,8.8,3.4,,,,,266.584649,1.151102
Bt,TALL,,,Megapit,32.9510611,-87.3941,37,75,,,56.0,78.4,9.2,12.4,,,,,52.377481,1.145165
BC,TALL,,,Megapit,32.9510611,-87.3941,75,93,,,84.0,87.6,3.8,8.6,,,,,171.779742,1.14466
C1,TALL,,,Megapit,32.9510611,-87.3941,93,130,,,111.5,91.7,3.0,5.3,,,,,395.735752,1.164927
C2,TALL,,,Megapit,32.9510611,-87.3941,130,200,,,165.0,90.2,3.2,6.6,,,,,289.972372,1.162849
A1,DCFS,,,Megapit,47.15919,-99.11251,0,8,,,4.0,29.3,38.4,32.3,,,,,9.077263,1.318613
A2,DCFS,,,Megapit,47.15919,-99.11251,8,18,,,13.0,33.6,29.8,36.6,,,,,7.482671,1.415434
A3,DCFS,,,Megapit,47.15919,-99.11251,18,26,,,22.0,33.4,34.6,32.0,,,,,7.863891,1.412084
Bw,DCFS,,,Megapit,47.15919,-99.11251,26,35,,,30.5,35.7,35.1,29.2,,,,,8.026496,1.421641
Bk1,DCFS,,,Megapit,47.15919,-99.11251,35,55,,,45.0,31.2,37.2,31.6,,,,,8.593359,1.334166
Bk2,DCFS,,,Megapit,47.15919,-99.11251,55,92,,,73.5,32.2,39.3,28.5,,,,,9.392207,1.324606
BC,DCFS,,,Megapit,47.15919,-99.11251,92,110,,,101.0,27.1,44.1,28.8,,,,,10.473594,1.32859
C1,DCFS,,,Megapit,47.15919,-99.11251,110,148,,,129.0,32.5,41.6,25.9,,,,,10.521312,1.337393
C2,DCFS,,,Megapit,47.15919,-99.11251,148,165,,,156.5,37.0,40.1,22.9,,,,,10.862007,1.291257
C3,DCFS,,,Megapit,47.15919,-99.11251,165,200,,,182.5,33.7,44.1,22.2,,,,,12.540636,1.331461
A1,NOGP,,,Megapit,46.76846,-100.91832,0,4,,,2.0,17.2,56.8,26.0,,,,,12.206798,1.250917
A2,NOGP,,,Megapit,46.76846,-100.91832,4,11,,,7.5,17.2,57.4,25.4,,,,,12.41565,1.249158
A3,NOGP,,,Megapit,46.76846,-100.91832,11,31,,,21.0,17.8,57.8,24.4,,,,,12.786707,1.244484
Bt1,NOGP,,,Megapit,46.76846,-100.91832,31,46,,,38.5,20.4,52.9,26.7,,,,,11.752907,1.254362
Bt2,NOGP,,,Megapit,46.76846,-100.91832,46,64,,,55.0,22.3,51.2,26.5,,,,,11.653276,1.262036
Bt3,NOGP,,,Megapit,46.76846,-100.91832,64,84,,,74.0,29.2,41.8,29.0,,,,,10.04717,1.342275
Btk1,NOGP,,,Megapit,46.76846,-100.91832,84,112,,,98.0,25.6,44.4,30.0,,,,,10.4188,1.319754
Btk2,NOGP,,,Megapit,46.76846,-100.91832,112,145,,,128.5,28.7,43.0,28.3,,,,,10.359197,1.338531
Bk,NOGP,,,Megapit,46.76846,-100.91832,145,182,,,163.5,30.5,45.0,24.5,,,,,11.643866,1.331943
C,NOGP,,,Megapit,46.76846,-100.91832,182,200,,,191.0,30.85,45.5,23.65,,,,,12.070808,1.329585
A,WOOD,,,Megapit,47.158989,-99.239021,0,6,,,3.0,55.3,25.0,19.7,,,,,15.719954,1.214146
Ap,WOOD,,,Megapit,47.158989,-99.239021,6,16,,,11.0,59.3,24.3,16.4,,,,,21.261864,1.210317
2Bw,WOOD,,,Megapit,47.158989,-99.239021,16,32,,,24.0,73.7,17.4,8.9,,,,,54.408597,1.136119
2Bk1,WOOD,,,Megapit,47.158989,-99.239021,32,58,,,45.0,85.6,9.4,5.0,,,,,178.818486,1.150049
2Bk2,WOOD,,,Megapit,47.158989,-99.239021,58,92,,,75.0,90.5,6.5,3.0,,,,,396.686946,1.139495
2BCk,WOOD,,,Megapit,47.158989,-99.239021,92,133,,,112.5,89.5,7.5,3.0,,,,,345.810316,1.144905
2C,WOOD,,,Megapit,47.158989,-99.239021,133,190,,,161.5,86.5,6.1,7.4,,,,,165.161177,1.128639
A,CPER,,,Megapit,40.8131111,-104.7443889,0,10,,,5.0,71.5,16.6,11.9,,,,,39.879694,1.1401
BA,CPER,,,Megapit,40.8131111,-104.7443889,10,30,,,20.0,73.8,14.3,11.9,,,,,43.430033,1.138157
Bt1,CPER,,,Megapit,40.8131111,-104.7443889,30,54,,,42.0,66.5,13.7,19.8,,,,,19.446455,1.187308
Bt2,CPER,,,Megapit,40.8131111,-104.7443889,54,81,,,67.5,48.6,27.8,23.6,,,,,11.052409,1.217503
Bk1,CPER,,,Megapit,40.8131111,-104.7443889,81,137,,,109.0,60.2,17.2,22.6,,,,,14.571462,1.227345
Bk2,CPER,,,Megapit,40.8131111,-104.7443889,137,181,,,159.0,59.3,19.8,20.9,,,,,15.776339,1.221302
2C,CPER,,,Megapit,40.8131111,-104.7443889,181,210,,,195.5,52.9,21.3,25.8,,,,,10.969808,1.230214
A,RMNP,,,Megapit,40.2770556,-105.54525,0,10,,,5.0,67.6,20.5,11.9,,,,,35.592228,1.159975
AB,RMNP,,,Megapit,40.2770556,-105.54525,10,33,,,21.5,74.4,17.1,8.5,,,,,57.768139,1.138409
C/B (C),RMNP,,,Megapit,40.2770556,-105.54525,33,84,,,58.5,84.4,11.05,4.55,,,,,161.225199,1.179637
C/B (B),RMNP,,,Megapit,40.2770556,-105.54525,33,84,,,58.5,84.4,11.05,4.55,,,,,161.225199,1.179637
C,RMNP,,,Megapit,40.2770556,-105.54525,84,123,,,103.5,84.6,11.3,4.1,,,,,170.450876,1.189906
Cr,RMNP,,,Megapit,40.2770556,-105.54525,123,198,,,160.5,72.3,21.5,6.2,,,,,63.059676,1.164161
R,RMNP,,,Megapit,40.2770556,-105.54525,198,200,,,199.0,,,,,,,,,
Ap1,STER,,,Megapit,40.4598333,-103.0300833,0,11,,,5.5,46.7,34.3,19.0,,,,,13.518769,1.253323
